0,1,1,3.99,100
1,2,1,4.50,50
2,0,3,5.00,75
3,1,5,3.89,60
4,2,5,4.40,80
5,0,1,4.99,90
6,0,7,5.16,33
7,1,7,5.17,44
8,2,7,5.18,55
9,3,7,5.19,66
10,4,4,4.25,66
11,5,7,5.20,77
12,3,6,5.99,77
13,4,7,5.21,88
14,5,2,6.99,88
15,6,7,10.8,77
16,7,7,1.20,77
17,8,7,0.80,77
18,9,7,0.75,77
19,10,7,2.10,77
20,11,7,2.10,77
21,12,7,2.10,77
22,13,7,2.10,77
23,14,7,2.10,77
24,15,7,2.10,77
25,16,7,2.10,77
26,17,7,2.10,77
27,18,7,2.10,77
28,19,7,2.10,77
29,20,7,2.10,77
30,21,7,2.10,77
31,22,7,2.10,77
32,23,7,2.10,77
33,24,7,2.10,77
34,25,7,2.10,77
35,26,7,2.10,77
36,27,7,2.10,77
37,28,7,2.10,77
38,29,7,2.10,77
39,30,7,2.10,77
